Registro,Espécie,Data ,Fase,Pacela,N° rede,Sexo,Idade,Horário,Peso,Antebraço,C. Reprodutiva,Destino Final,Anilha,Cor,Antebraço,Recaptura,Ectoparasitas,Amostra,Observação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Desmodus rotundus,07/08/2021,1,A5,000,Macho,Adulto,20:00,31,61.0,Escrotado,Liberado,4,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sturnira lilium ,07/08/2021,1,A5,120,Fêmea,Adulto,22:00,21.5,44.1,Inativo,Liberado,1,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Desmodus rotundus,07/08/2021,1,A5,120,Fêmea,Adulto,0:00,42,62.3,Inativo,Liberado,5,Roxa,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Desmodus rotundus,07/08/2021,1,A5,130,Macho,Adulto,0:00,35,62.6,Inativo,Liberado,6,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Desmodus rotundus,08/08/2021,1,P5,140,Macho,Adulto,20:00,44,65.5,Inativo,Liberado,7,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Desmodus rotundus,08/08/2021,1,P5,140,Macho,Adulto,20:00,57,67.2,Inativo,Liberado,8,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Desmodus rotundus,08/08/2021,1,P5,130,Macho,Adulto,20:00,40,63.1,Escrotado,Liberado,9,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Desmodus rotundus,08/08/2021,1,P5,130,Macho,Adulto,20:00,34,61.1,Inativo,Liberado,10,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Desmodus rotundus,08/08/2021,1,P5,130,Macho,Adulto,20:00,39,60.0,Inativo,Liberado,11,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Desmodus rotundus,08/08/2021,1,P5,030,Macho,Adulto,20:00,38,61.3,Inativo,Liberado,12,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Desmodus rotundus,08/08/2021,1,P5,060,Macho,Adulto,20:00,47,63.3,Inativo,Liberado,1 Grande,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Desmodus rotundus,08/08/2021,1,P5,000,Macho,Adulto,21:00,38,61.1,Escrotado,Liberado,13,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sturnira lilium ,11/08/2021,1,A1,030,Fêmea,Adulto,20:00,20.5,41.1,Inativo,Liberado,2,Laranja,Direito,não,nc,nc,Amostra e Ectoparasitas vai ser marcado sim e não se coletarmos na segunda campanha ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sturnira lilium ,11/08/2021,1,A1,130,Fêmea,Adulto,20:00,21.5,40.8,Inativo,Liberado,3,Laranja,Direito,não,nc,nc,Por enquanto é nc de não coletado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sturnira lilium ,12/08/2021,1,P1,010,Fêmea,Adulto,20:00,22,42.7,Inativo,Liberado,4,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sturnira lilium ,13/08/2021,1,N1,120,Fêmea,Adulto,20:00,21,43.2,Inativo,Liberado,5,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sturnira lilium ,14/08/2021,1,A2,080,Fêmea,Adulto,19:00,22,43.7,Inativo,Liberado,6,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sturnira lilium ,14/08/2021,1,A2,110,Fêmea,Adulto,19:00,22,43.5,Inativo,Liberado,7,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sturnira lilium ,14/08/2021,1,A2,130,Fêmea,Adulto,19:00,22,41.8,Inativo,Liberado,8,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Myotis sp.,14/08/2021,1,A2,080,Fêmea,Adulto,19:00,7,37.8,Inativo,Liberado,1,Azul,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sturnira lilium ,14/08/2021,1,A2,140,Fêmea,Adulto,20:00,18,40.9,Inativo,Liberado,9,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Lasiurus blossevilli,14/08/2021,1,A2,130,Macho,Adulto,21:00,10,38.1,Inativo,Capturado ,2,Azul,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Myotis sp.,14/08/2021,1,A2,120,Macho,Adulto,21:00,6,38.1,Inativo,Liberado,3,Azul,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sturnira lilium ,15/08/2021,1,N2,100,Fêmea,Adulto,20:00,22,45.1,Inativo,Liberado,10,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sturnira lilium ,16/08/2021,1,P3,040,Fêmea,Adulto,19:00,23,42.7,Inativo,Liberado,11,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sturnira lilium ,16/08/2021,1,P3,120,Fêmea,Adulto,22:00,20.5,42.8,Inativo,Liberado,12,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sturnira lilium ,17/08/2021,1,A3,100,Fêmea,Adulto,19:00,20,46.6,Inativo,Liberado,13,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sturnira lilium ,17/08/2021,1,A3,070,Fêmea,Adulto,19:00,22,45.0,Inativo,Liberado,14,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sturnira lilium ,17/08/2021,1,A3,070,Fêmea,Adulto,19:00,21,42.4,Inativo,Liberado,15,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sturnira lilium ,17/08/2021,1,A3,040,Fêmea,Adulto,19:00,18,41.3,Inativo,Liberado,16,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sturnira lilium ,17/08/2021,1,A3,130,Fêmea,Adulto,20:00,20,42.1,Inativo,Liberado,17,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sturnira lilium ,17/08/2021,1,A3,120,Fêmea,Adulto,20:00,20,42.7,Inativo,Liberado,18,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sturnira lilium ,17/08/2021,1,A3,000,Fêmea,Adulto,21:00,21,44.4,Inativo,Liberado,19,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sturnira lilium ,17/08/2021,1,A3,120,Fêmea,Adulto,21:00,20,43.1,Inativo,Liberado,20,Laranja,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sturnira lilium ,17/08/2021,1,A3,010,Fêmea,Adulto,23:00,22,44.2,Inativo,Liberado,1,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sturnira lilium ,18/08/2021,1,P2,030,Fêmea,Adulto,0:00,20.5,44.1,Inativo,Liberado,2,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sturnira lilium ,19/08/2021,1,N3,110,Fêmea,Adulto,19:00,22,43.0,Inativo,Liberado,3,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Campo de Novembro,xxxxxxxxxx,xxxx,xxxxx,xxxx,xxxxx,xxxxx,xxxxx,xxxx,xxxxxx,xxxxx,xxxxx,xxxxx,xxxx,xxxxx,xxxxx,xxxxx,xxxxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sturnira lilium ,31/10/2021,2,A2,110,Fêmea,Adulto,20:40,23,41.6,Inativo,Liberado,4,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sturnira lilium ,31/10/2021,2,A2,150,Fêmea,Adulto,20:40,30,42.7,Prenha,Liberado,5,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lasiurus blossevilli,01/11/2021,2,P6,060,Macho,Adulto,19:40,12,38.1,Inativo,Capturado ,1,Vermelha,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Desmodus rotundus,01/11/2021,2,P6,030,Macho,Adulto,20:40,47,63.4,Escrotado,Liberado,2,Roxa,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sturnira lilium ,02/11/2021,2,P1,010,Fêmea,Adulto,19:40,27,43.4,Prenha,Liberado,6,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Myotis sp.,02/11/2021,2,P1,060,Fêmea,Adulto,19:40,10.5,39.8,Prenha,Capturado ,4,Azul,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sturnira lilium ,02/11/2021,2,P1,010,Fêmea,Adulto,20:40,28,40.2,Inativo,Liberado,7,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sturnira lilium ,02/11/2021,2,P1,010,Fêmea,Adulto,20:40,21,45.1,Prenha,Liberado,8,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sturnira lilium ,03/11/2021,2,P2,090,Fêmea,Adulto,20:40,26,43.6,Prenha,Liberado,1,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sturnira lilium ,03/11/2021,2,P2,040,Fêmea,Adulto,22:40,24,42.6,Prenha,Liberado,2,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sturnira lilium ,03/11/2021,2,P2,120,Fêmea,Adulto,0:40,29,43.4,Prenha,Liberado,3,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sturnira lilium ,05/11/2021,2,A3,010,Fêmea,Adulto,21:40,27,42.7,Prenha,Liberado,4,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sturnira lilium ,05/11/2021,2,A3,020,Fêmea,Adulto,21:40,29,40.0,Prenha,Liberado,5,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sturnira lilium ,05/11/2021,2,A3,00,Fêmea,Adulto,22:40,29,42.1,Prenha,Liberado,6,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Desmodus rotundus,05/11/2021,2,A3,130,Fêmea,Adulto,0:40,68,63.2,Prenha,Liberado,3,Roxa,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sturnira lilium ,06/11/2021,2,P3,010,Fêmea,Adulto,19:40,21.5,42.3,Prenha,Liberado,7,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sturnira lilium ,06/11/2021,2,P3,010,Macho,Adulto,19:40,26.5,44.3,Inativo,Liberado,8,Verde,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Lasiurus blossevilli,06/11/2021,2,P3,140,Macho,Adulto,19:40,8,39.1,Inativo,Capturado ,2,Vermelha,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sturnira lilium ,06/11/2021,2,P3,00,Fêmea,Adulto,20:40,25,43.5,Prenha,Liberado,9,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sturnira lilium ,06/11/2021,2,P3,00,Macho,Adulto,20:40,25,41.5,Escrotado,Liberado,10,Verde,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Sturnira lilium ,06/11/2021,2,P3,040,Macho,Adulto,20:40,21,43.4,Inativo,Liberado,11,Verde,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Sturnira lilium ,06/11/2021,2,P3,010,Fêmea,Adulto,21:40,26,41.9,Prenha,Liberado,12,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Sturnira lilium ,06/11/2021,2,P3,00,Fêmea,Adulto,0:40,25.5,42.1,Prenha,Liberado,13,Verde,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Myotis sp.,07/11/2021,2,A4,150,Fêmea,Adulto,19:40,9,34.5,Prenha,Capturado ,1,Azul,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sturnira lilium ,07/11/2021,2,A4,00,Macho,Adulto,19:40,22.5,41.6,Escrotado,Liberado,14,Verde,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Myotis sp.,07/11/2021,2,A4,020,Macho,Adulto,19:40,6,34.0,Escrotado,Capturado ,2,Azul,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Desmodus rotundus,07/11/2021,2,A4,070,Macho,Adulto,20:40,42,60.6,Escrotado,Capturado ,1,Verm/G,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Sturnira lilium ,07/11/2021,2,A4,00,Fêmea,Adulto,20:40,26,46.3,Prenha,Liberado,15,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Sturnira lilium ,07/11/2021,2,A4,00,Macho,Adulto,20:40,22.5,42.1,Escrotado,Liberado,16,Verde,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sturnira lilium ,07/11/2021,2,A4,00,Macho,Adulto,23:40,24,42.6,Escrotado,Liberado,17,Verde,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Desmodus rotundus,07/11/2021,2,A4,060,Fêmea,Adulto,23:40,48,60.4,Inativo,Liberado,2,Vermelha,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Sturnira lilium ,10/11/2021,2,N3,010,Fêmea,Adulto,20:40,29,43.9,Prenha,Liberado,18,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Sturnira lilium ,11/11/2021,2,A6,010,Fêmea,Adulto,20:40,29.5,44.2,Prenha,Liberado,19,Verde,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Sturnira lilium ,13/11/2021,2,N6,050,Macho,Adulto,19;40,22,41.4,Inativo,Liberado,20,Verde,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Myotis sp.,14/11/2021,2,N5,080,Macho,Adulto,0:40,5,36.7,Inativo,Capturado ,3,Azul,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Myotis sp.,15/11/2021,2,N4,070,Fêmea,Adulto,19:40,7,37.8,Prenha,Capturado ,4,Azul,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Myotis sp.,15/11/2021,2,N4,140,Fêmea,Adulto,19:40,9,39.3,Prenha,Capturado ,5,Azul,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Sturnira lilium ,16/11/2021,2,P5,030,Fêmea,Adulto,22:40,26,43.2,Prenha,Liberado,1,Dourado,Direito,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Sturnira lilium ,18/11/2021,2,N1,050,Macho,Adulto,19:40,23,41.6,Escrotado,Liberado,2,Dourado,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Myotis sp.,20/11/2021,2,A5,030,Macho,Adulto,19:40,7,36.7,Inativo,Capturado ,6,Azul,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Campo de Janeiro/Fevereiro,xxxxxxxxxx,xxxx,xxxxx,xxxx,xxxxx,xxxxx,xxxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Sturnira lilium ,23/01/2022,3,A1,050,Macho,Adulto,20:40,17.0,43.3,Inativo,Liberado,3,Dourado,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Sturnira lilium ,23/01/2022,3,A1,020,Macho,Adulto,20:40,24,43.2,Inativo,Liberado,4,Dourado,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Eptesicus brasiliensis,24/01/2022,3,N6,150,Fêmea,Adulto,20:40,7,38.4,Inativo,Capturado ,3,Prata,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Eptesicus brasiliensis,24/01/2022,3,N6,150,Fêmea,Adulto,20:40,8,41.3,Inativo,Capturado ,2,Prata,Direito,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Eptesicus brasiliensis,24/01/2022,3,N6,040,Macho,Adulto,23:40,14,46.1,Inativo,Capturado ,1,Prata,Esquerdo,não,nc,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Sturnira lilium ,25/01/2022,3,N5,080,Macho,Adulto,20:40,29,42.9,Inativo,Liberado,5,Dourado,Esquerdo,não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Desmodus rotundus,28/01/2022,3,P5,040,Fêmea,Adulto,20:40,45,62.3,Inativo,Liberado,2,Vermelha G,Direito,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Desmodus rotundus,28/01/2022,3,P5,040,Fêmea,Adulto,20:40,46,67.1,Inativo,Liberado,1,Vermelha G,Direito,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Desmodus rotundus,28/01/2022,3,P5,040,Fêmea,Adulto,20:40,50,66.7,Inativo,Liberado,3,Vermelha G,Direito,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Desmodus rotundus,28/01/2022,3,P5,130,Fêmea,Adulto,23:40,37,64.1,Inativo,Liberado,4,Vermelha G,Direito,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Desmodus rotundus,28/01/2022,3,P5,140,Macho,Adulto,1:40,30,60.0,Inativo,Liberado,5,Vermelha G,Esquerdo,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Desmodus rotundus,30/01/2022,3,A5,140,Fêmea,Adulto,21:40,32,63.2,Inativo,Liberado,6,Vermelha G,Direito,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Sturnira lilium ,08/02/2022,3,A2,000,Macho,Adulto,20:40,24,41.9,Inativo,Liberado,6,Dourado,Esquerdo,não,Sim,Sim,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Campo de Abril/Maio,xxxxxxxxxx,x,xxxxx,xxxx,xxxxx,xxxxx,xxxxx,xxxx,xx,xxx,xx,xxx,xxxx,xx,xx,xxxx,xxx,Campo de Abril/Maio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Desmodus rotundus,25/04/2022,4,P6,030,Macho,Adulto,21:00,36,64.9,Inativo,Liberado,7,Vermelha G,Esquerdo,não,nc,nc,Coleta de material microbiologico da boca e ânus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
